xmin,ymin,xmax,ymax,Object
583,112,801,136,PO Box 3149
1392,114,1588,161,Invoice
432,148,545,200,CIL
583,150,976,182,"Canyon Lake, TX 78133"
582,198,847,218,830-935-4430 Phone
119,212,548,238,INDUSTRIAL SERVICES INC.
1285,207,1338,228,Date
1449,206,1550,226,Invoice #
583,228,820,248,830-935-4048 FAX
260,268,547,285,SPECIALIZING IN SOLUTIONS
1255,270,1367,291,9/13/2019
1464,270,1534,291,12379
183,382,253,402,Bill To
944,381,1031,406,Ship To
157,433,333,457,Appleton Group
920,433,1096,458,Appleton Group
158,461,417,486,Attn: Accounts Payable
920,460,1245,481,13639 Aldine Westfield Road
157,489,370,514,9377 West Higgins
921,489,1135,513,"Houston, TX 77039"
158,518,383,542,"Rosemont, IL 60018"
158,546,410,566,Need to email invoices
162,670,349,690,Customer Phone
446,670,588,690,800-621-1506
177,707,334,727,Customer Fax
453,707,581,727,2817743755
483,756,629,778,P.O. Number
756,756,828,777,Terms
986,756,1036,782,Ship
1193,757,1229,778,Via
1420,756,1490,777,F.O.B.
470,820,639,841,240100319949
756,820,830,841,Net 30
956,820,1066,841,9/11/2019
1161,820,1261,840,delivered
166,882,258,907,Quantity
378,882,494,903,Item Code
787,882,911,906,Description
1201,882,1321,903,Price Each
1443,882,1530,903,Amount
289,933,315,953,10
333,932,521,953,Industrial Adhesi
556,933,917,954,Coremaster FD CM30 12/Carton
1290,932,1365,954,106.20
1478,933,1574,956,"1,062.00"
302,961,313,981,1
332,960,513,986,Freight Cost Inc
557,961,637,986,Freight
1303,961,1366,981,66.00
1513,961,1575,981,66.00
106,1820,427,1845,Thank you for your business.
1083,1837,1185,1871,Total
1466,1857,1575,1880,"$1,128.00"
