xmin,ymin,xmax,ymax,Object,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
583,112,801,136,PO Box 3149,"Canyon Lake, TX 78133",42.0,3,Invoice,591,1,42.0,-1
1392,114,1588,161,Invoice,Invoice #,78.5,7,,0,-1,78.5,0
432,148,545,200,CIL,INDUSTRIAL SERVICES INC.,51.0,5,830-935-4430 Phone,37,4,51.0,-1
583,150,976,182,"Canyon Lake, TX 78133",830-935-4430 Phone,42.0,4,Invoice,416,1,42.0,416
582,198,847,218,830-935-4430 Phone,830-935-4048 FAX,30.0,8,Date,438,6,30.0,438
119,212,548,238,INDUSTRIAL SERVICES INC.,SPECIALIZING IN SOLUTIONS,51.5,9,830-935-4430 Phone,34,4,51.5,34
1285,207,1338,228,Date,9/13/2019,63.0,10,Invoice #,111,7,63.0,111
1449,206,1550,226,Invoice #,12379,64.5,11,,0,-1,64.5,0
583,228,820,248,830-935-4048 FAX,800-621-1506,442.0,23,,0,-1,442.0,0
260,268,547,285,SPECIALIZING IN SOLUTIONS,Appleton Group,168.5,14,9/13/2019,708,10,-1.0,708
1255,270,1367,291,9/13/2019,delivered,549.5,34,12379,97,11,-1.0,97
1464,270,1534,291,12379,F.O.B.,486.0,30,,0,-1,486.0,0
183,382,253,402,Bill To,Appleton Group,53.0,14,Ship To,691,13,53.0,691
944,381,1031,406,Ship To,Appleton Group,52.0,15,,0,-1,52.0,0
157,433,333,457,Appleton Group,Attn: Accounts Payable,28.5,16,Appleton Group,587,15,28.5,587
920,433,1096,458,Appleton Group,13639 Aldine Westfield Road,25.0,17,,0,-1,25.0,0
158,461,417,486,Attn: Accounts Payable,9377 West Higgins,28.0,18,13639 Aldine Westfield Road,503,17,28.0,503
920,460,1245,481,13639 Aldine Westfield Road,"Houston, TX 77039",30.5,19,,0,-1,30.5,0
157,489,370,514,9377 West Higgins,"Rosemont, IL 60018",28.5,20,"Houston, TX 77039",551,19,28.5,551
921,489,1135,513,"Houston, TX 77039",Ship,268.0,28,,0,-1,268.0,0
158,518,383,542,"Rosemont, IL 60018",Need to email invoices,26.0,21,,0,-1,26.0,0
158,546,410,566,Need to email invoices,Customer Phone,124.0,22,,0,-1,124.0,0
162,670,349,690,Customer Phone,Customer Fax,37.0,24,800-621-1506,97,23,37.0,97
446,670,588,690,800-621-1506,2817743755,37.0,25,,0,-1,37.0,0
177,707,334,727,Customer Fax,Quantity,177.5,35,2817743755,119,25,177.5,119
453,707,581,727,2817743755,P.O. Number,50.0,26,,0,-1,50.0,0
483,756,629,778,P.O. Number,240100319949,63.5,31,Terms,127,27,63.5,127
756,756,828,777,Terms,Net 30,64.0,32,Ship,158,28,64.0,158
986,756,1036,782,Ship,9/11/2019,61.5,33,Via,157,29,61.5,157
1193,757,1229,778,Via,delivered,62.5,34,F.O.B.,191,30,62.5,191
1420,756,1490,777,F.O.B.,Amount,126.0,39,,0,-1,126.0,0
470,820,639,841,240100319949,Item Code,62.0,36,Net 30,117,32,62.0,117
756,820,830,841,Net 30,Description,63.5,37,9/11/2019,126,33,63.5,126
956,820,1066,841,9/11/2019,NULL,0.0,-1,delivered,95,34,0.0,95
1161,820,1261,840,delivered,Price Each,62.5,38,,0,-1,62.5,0
166,882,258,907,Quantity,Thank you for your business.,938.0,50,Item Code,120,36,-1.0,120
378,882,494,903,Item Code,Industrial Adhesi,50.0,41,Description,293,37,50.0,293
787,882,911,906,Description,Coremaster FD CM30 12/Carton,49.5,42,Price Each,290,38,49.5,290
1201,882,1321,903,Price Each,106.20,50.5,43,Amount,122,39,50.5,122
1443,882,1530,903,Amount,"1,062.00",52.0,44,,0,-1,52.0,0
289,933,315,953,10,1,28.0,45,Industrial Adhesi,18,41,28.0,18
333,932,521,953,Industrial Adhesi,Freight Cost Inc,30.5,46,Coremaster FD CM30 12/Carton,35,42,30.5,35
556,933,917,954,Coremaster FD CM30 12/Carton,Freight,30.0,47,106.20,373,43,30.0,373
1290,932,1365,954,106.20,66.00,28.0,48,"1,062.00",113,44,28.0,113
1478,933,1574,956,"1,062.00",66.00,26.5,49,,0,-1,26.5,0
302,961,313,981,1,Thank you for your business.,861.5,50,Freight Cost Inc,19,46,-1.0,19
332,960,513,986,Freight Cost Inc,Thank you for your business.,859.5,50,Freight,44,47,859.5,44
557,961,637,986,Freight,NULL,0.0,-1,66.00,666,48,0.0,666
1303,961,1366,981,66.00,NULL,0.0,-1,66.00,147,49,0.0,147
1513,961,1575,981,66.00,"$1,128.00",897.5,52,,0,-1,897.5,0
106,1820,427,1845,Thank you for your business.,NULL,0.0,-1,Total,656,51,0.0,656
1083,1837,1185,1871,Total,NULL,0.0,-1,"$1,128.00",281,52,0.0,281
1466,1857,1575,1880,"$1,128.00",NULL,0.0,-1,,0,-1,0.0,0
